Name, Email, Fax Number, Phone Number, Website, Address, Advertisements
"Bootswerft Krieg GmbH & Co. KG", "bootswerft.krieg@t-online.de", "", "078447410", "", "Jachtstr. 1
77866 Rheinau
", "10"
"BrauckmannBoote GmbH", "info@BrauckmannBoote.de", "+49/03381-89 06 62", "+49/03381-89 06 60", "", "Grosse Mühlenstr. 10
14774 Brandenburg-Plaue
", "31"
"Brehm&Presch Marina GbR", "ap@marina-alter-hafen.de", "", "+49/0331-870 966 26", "", "Gutenbergstr. 65
14467 Potsdam
", "4"
"BTH Homes", "biuro@bthhomes.pl", "", "+48/509749338-+48509", "", "Klonowica 11a/36
71-24 Szczecin
", "3"
"Canary Yacht Brokers", "carlos@canaryachtbrokers.com", "", "+34/666-072 400", "", "Playa Bastian, Avenida del Mar 28
35508 Costa Teguise
", "54"
"CBC Cityboats GmbH", "info@cityboats.de", "+49/040-81995869", "+49/040-81995860", "", "Heinrich Herz Str. 8-10
22941 Bargteheide
", "38"
"CENTRO NAUTICO LIGNANO SRL", "vendite@centronauticolignano.com", "", "+39/0431-53363", "", "Via Lignano Sabbiadoro, 156
33050 Lignano Sabbiadoro (UD)
", "14"
"centrum motorowodne coral yacht jaroslaw brdek", "coralyacht@up.pl", "", "+48/-505074547", "", "torunska 5
63-40 ostrow wlkp
", "3"
"Check Handels GmbH", "info@check-group.at", "", "+43/660-7788998", "", "Wirtschaftspark
9130 Poggersdorf
", "7"
"Clarke & Carter Interyacht Ltd", "m.ihmels@boot24.com", "", "+44/(0) 1473-659681", "", "Suffolk Yacht Harbour
IP10 Levington/Ipswich
", "20"
"Columbus Yachting Srl", "columbus@infcom.it", "", "+39/0915-84238", "", "Piazza Acquasanta 2
90142 Palermo
", "72"
"correct-motors", "info@correct-motors.de", "+49/033363-46089", "+49/033363-46666", "", "Altenhofer Dorfstr. 18
16244 Schorfheide / OT Altenhof
", "6"
"Cramer Boote", "crew@cramer-boote.de", "+49/04421-44530", "+49/04421-43415", "", "Südstrand 3-4
26382 Wilhelmshaven
", "16"
"Croatia Yachting d.o.o.", "sales@croatia-yachting.hr", "", "+385/21-332348", "", "Dražanac 2/a
21000 Split
", "25"
"DD-Yachting", "info@dd-yachting.de", "+49/2381-42 65 010", "+49/2381-42 65 001", "", "Goldsternstr. 28
59073 Hamm
", "18"
"De Vaart Yachting", "info@devaartyachting.com", "", "+31/320-212341", "", "Bolderweg 51
8243 Lelystad
", "21"
"De Valk Amsterdam B.V.", "international@devalk.nl", "+31 (0)35 5829016", "+31 (0)35 5829014", "", "`t Breukeleveense Meentje 6
1231 Loosdrecht
", "43"
"De Valk Barcelona", "barcelona@devalk.nl", "", "+34/93-2202825", "", "Vilanova Grand Marina, local B-2
08800 Vilanova i la Geltru
", "25"
"De Valk Barcelona/Gerona", "barger@devalk.nl", "", "+34/691-923235", "", "MOLL DE PONENT S/N (PORT)
08304 Mataró
", "18"
"De Valk Corfu", "corfu@devalk.nl", "", "+30/266-1118095", "", "Marina Gouvia
490 8 Corfu
", "26"
"De Valk Costa Blanca", "costablanca@devalk.nl", "", "+34/96-5021569", "", "Paseo Maritimo 44
03700 Denia
", "37"
"De Valk Costa del Sol", "costadelsol@devalk.nl", "", "+34/95-1120059", "", "Puerto Banus
29660 Marbella
", "6"
"De Valk Dalmatia", "dalmatia@devalk.nl", "", "+385/95-528202", "", "Mandalina Marina
22000 Sibenik
", "15"
"De Valk Hindeloopen B.V.", "hindeloopen@devalk.nl", "+31(0)514 524 009", "+31(0)514 524 000", "http://www.devalk.nl/", "Oosterstrand 1
8713 Hindeloopen
", "62"
"De Valk Kiel", "kiel@devalk.nl", "", "+49/171-2312133", "", "Hermann Rennerstrasse 12
22609 Hamburg
", "8"
"De Valk Loosdrecht B.V.", "loosdrecht@devalk.nl", "+31 35 5829019", "+31 35 5829018", "http://www.devalk.nl/", "`t Breukeleveense Meentje 6
1231 Loosdrecht
", "75"
"De Valk Monnickendam B.V.", "monnickendam@devalk.nl", "+31(0)299 656 341", "+31(0)299 656 350", "http://www.devalk.nl/", "Hoogdijk 6
1145 Katwoude
", "47"
"De Valk Portugal S.R.L.", "portugal@devalk.nl", "", "+351/308-812321", "", "Marina de Lagos, Loja 18/19
8600- Lagos
", "24"
"De Valk Sneek B.V.", "sneek@devalk.nl", "+31(0)515 428 039", "+31(0)515 428 030", "http://www.devalk.nl/", "Zwolsmanweg 7
5606 Sneek
", "58"
"De Valk Yachts France SARL", "antibes@devalk.nl", "+33/492-910301", "+33/492-910202", "", "2, Avenue de Verdun
06600 Antibes
", "83"
"De Valk Yachts Palma S.L.", "palma@devalk.nl", "+34/971-402760", "+34/971-402911", "", "Paseo Maritimo 44
07015 Palma de Mallorca
", "58"
"De Valk Zeeland B.V.", "sintannaland@devalk.nl", "+31 (0)166 654 267", "+31 (0)166 601 000", "http://www.devalk.nl/", "Koelhuisweg 4
4697 Sint Annaland
", "57"
"DEDIMARINE", "dedimarine@dedimarine.pl", "", "+48/50 8710 603", "", "Szparagowa 25
62081 Wysogotowo
", "1"
"Delta Yacht", "arjan@deltayacht.com", "+31(0)113 69 57 69", "+31(0)113 69 57 76", "http://www.deltayacht.com/", "Jachthavenweg 5
4486 Colijnspaat
", "20"
"DIAMOND Yachts GmbH", "info@diamond-yachts.de", "", "+49/04343-42270", "", "Börn 17
24235 Laboe
", "24"
"Doeve Yacht & Shipbrokers", "info@doevemakelaar.nl", "+31(0)10-248 9950", "+31(0)10-248 9830", "http://www.doevemakelaar.nl/", "Westhavenkade 87 c
3133 Vlaardingen
", "11"
"Dolman Yachting B.V.", "info@dolmanyachting.nl", "++31 (0)36-522 84 02", "++31 (0)36-522 83 24", "", "Slingerweg 7b
3896L Zeewolde
", "58"
"Dutch Vastgoed Adviseurs", "marcel.coltof@gmail.com", "", "+31/223-865091", "", "Sloestraat 9
1784 Den Helder
", "1"
"Econ Marine GmbH", "vertrieb@econ-marine.de", "", "0049 (0)4030093893", "", "Billbrookdeich 103
22113 Hamburg
", "55"
"ENJOY Yachting Vertriebs GmbH", "info@enjoy-yachting.de", "", "+49/0511-901237300", "", "Immengarten 10
30926 Seelze
", "5"
"eSailing", "yachtbroker@esailing.nl", "", "+31/88-2502500", "", "Henri Dunantpark 10
1277B Huizen
", "51"
"Europe Marine GmbH", "thomas.giesel@europe-marine.com", "+49/06139-8098", "+49/06139-9615040", "", "Budenheimer Parkallee 2
55257 Budenheim/Rhein
", "16"
"FCR Service GmbH", "info@top-sellerz2d.de", "", "+49/89-089413249691", "", "Wolfratshauser Straße 47
82049 Pullach
", "1"
"Flensburger Yacht-Service GmbH & Co. KG", "christoph.volkmann@sonwik.de", "+49 (0)461 177 27-33", "+49 (0)461 177 27-0", "", "Am Industriehafen 4
24937 Flensburg
", "10"
"Flexmarine GmbH", "info@flexmarine.de", "+49/03304-2091322", "+49/03304-2091311", "", "Hafenstraße 24
16761 Hennighsdorf
", "2"
"FLL-Marine GmbH", "marineteck@aol.com", "02173 - 109702-9", "004921731097020", "", "Kieselstrasse 2
51371 Leverkusen
", "22"
"FPHU BEST TOMASZ PADYK EDWARD WASILEWSKI", "biuro@etmarine.pl", "", "+48/42-2080249", "", "Kryształowa, 20
91-52 Łódź
", "10"
"Frankenboote", "info@frankenboote.de", "+49/09383-994360", "+49/09383-994361", "", "Feuerbacher Str.4
97353 Wiesentheid
", "2"
"Frauscher Bootswerft GmbH & Co KG", "Daniel.wegscheider@frauscherboats.com", "", "+43/761-2636550", "", "Betriebspark Ehrenfeld 3
4694 Ohlsdorf
", "5"
"Galtex", "biuro@chill-boat.com", "48 32 201 00 33", "+48 510 520 620", "", "Świdnicka, 25
40-71 Katowice
", "2"
"Gastl Boote", "info@gastl-boote.de", "", "+49/177-4541182", "http://example.com/", "Assenbucher Str. 43
82335 Berg-Leoni
", "8"
"Gebäude und Bootsservice Mader", "mader-boot@t-online.de", "+49/03991-632492", "+49/03991-632432", "", "Gievtzerstr.88
17192 Waren(Müritz)
", "4"
"Gebrauchtboote de Maas", "info@jachtmakelaardij-demaas.nl", "", "+31/0418-663236", "", "Jan Klingenweg 3
5335 Alem
", "26"
"Gino Group", "brokerage@ginogroup.com", "", "+90/252-4120676", "", "Netsel Marina - Marmaris, Sarıana Mahallesi, Musta
48700 Muğla
", "22"
"Given For Yachting", "info@givenfor.it", "", "+39/078-934721", "", "Piazza Quadra, 8
07020 Porto Rotondo
", "40"
"Global Contractors SRL", "blackseasailing@hotmail.com", "", "+40/723-237989", "", "Podului 8
90056 Constanta
", "3"
"Götze Yachts & Boats", "info@yachts-boats.de", "+49/33931-39425", "+49/33931-39424", "", "Berliner Straße 78
16831 Rheinsberg
", "7"
"Grandyachts BV", "info@grandyachts.eu", "", "+31/412-310090", "", "De Lithse Ham 3
5397 Lith
", "30"
"Greg Yachts", "yachtsales@greg-yachts.com", "", "+30/27440-64053", "", "Nikolaou Pattichi Street 26
3071 Limassol
", "49"
"Gründl Bootsimport OHG", "info@gruendl.de", "", "+49/040-55 50 54 - 0", "", "Nordring 1
25474 Bönningstedt
", "21"
"Grünes Projekt GmbH", "alex@vizboat.com", "", "+49/030-34088607", "", "Zabel-Krüger-Damm 26
13469 Berlin
", "5"
"HAAS INTERNATIONAL - The Sailing Yacht Broker", "manfred@haas-international.com", "+41 414 505 531", "+41 414 500 500", "", "Bitzistrasse 13
6055 Alpnach
", "11"
"HACKER-Bootstechnik", "info@hacker-hootstechnik.de", "+49/2633-200361", "+49/2633-200360", "http://www.hacker-bootstechnik.de/", "Leibnizstraße 3
53498 Bad Breisig
", "4"
"Hafen Netzener See", "bootshafen@t-online.de", "+49/03382-741949", "+49/03382-741951", "http://gebrauchtbootcenter.de/", "Dorfstraße 62 a / Hafengelände
14797 Nahmitz
", "35"
"Hallberg-Rassy Deutschland GmbH", "info@hallberg-rassy.de", "", "+49/04561-558648", "", "An der Wiek 7-15
23730 Neustadt
", "1"
"Hanse (Deutschland) Vertriebs GmbH & Co. KG", "info@hanseyachts.de", "", "+49/03834-7755710", "", "Salinenstraße 22
17489 Greifswald
", "28"
"Hansen Boot", "bjoern@hansen-boot.de", "", "+49/172-4423652", "", "Callisenstraße 27
24837 Schleswig
", "2"
"Hansvik Poland", "hanswvik.poland@o2.pl", "", "+48/501081634-501081", "", "Bolesława Chrobrego
73-11 Stargard
", "5"
"Haubold Yachting GmbH", "info@Haubold-Yachting.de", "+49/030-36284468", "+49/030-36284466", "", "Scharfe Lanke 47
13595 Berlin
", "7"
"Hausboot Erlebnis GmbH", "a.molsen@gm=.de", "", "016094664990", "", "Butenhoff 22
24558 Wakendorf II
", "3"
"Hausboot-Hannover.de", "info@hausbhoot-hannover.de", "", "+49/5722-9068740", "", "Ahnser Str. 5
31675 Bückeburg
", "1"
"Hennings Yacht-Vertrieb GmbH", "info@hennings-yachtvertrieb.de", "+49/4961-919219", "+49/4961-91920", "", "An der Alten Werft 1
26871 Papenburg
", "6"
"HERMANOS GUASCH SA", "comercial@ermanosguasch.com", "", "+34/977-820753", "", "Gil Vernet, 35 Pol Ind Les Tàpies I
43890 HOSPITALET DE LINFANT
", "32"
"HR-Yachting", "HR-Yachting@t-online.de", "+49/02825-9393767", "+49/02825-9393760", "", "Wiesengrund 5
47589 Uedem
", "10"
"HT spółka z o.o", "rezerwacje@hthouseboats.com", "", "+48/+48-695 635 293", "", "ul. 6 Marca 2
76-03 Mielno
", "7"
"Hurricane YachtVermittlung / Bootsvermietung Travemünde", "info@hurricane-yachtvermittlung.com", "+49/04502-888 12 88", "+49/0162 / 270 90 51", "", "Vorderreihe 59a
23570 Lübeck-Travemünde
", "5"
"HW BOOTSCENTER", "verkauf@hw-bootscenter.de", "", "+49/04203-3548", "", "Mittelwendung 39
28844 Weyhe
", "52"
"IBYacht", "sales@ibyacht.com", "", "+34/609-332243", "", "Aptdo. 338
07300 Inca
", "10"
"IMPOL Yacht & Bootsimporte", "info@impol-bhoote.de", "", "+491737401145", "http://www.impol-boote.de/", "Adalbert- Stifter-Strasse 49 (Büro)
40699 Erkrath
", "71"
"Inselgarage Beck", "info@insel-garage.de", "+49/07534-399", "+49/07534-92040", "", "Am Vögelisberg 3
78479 Reichenau
", "6"
"Internautica", "grossetot@yachtdiffusion.com", "", "+39/329-7449302", "", "Fronte Porto, 6/7
58100 Marina di Grosseto
", "54"
"J-Tech Sp. z o.o. Sp. K.", "info@jtech-marine.com", "", "+48600004828", "", "Hebanowskiego, 85c, 2
80-76 Gdańsk
", "3"
"J.S.M. X-Treme Fun", "info@seadoo-x.de", "+49/(0)9932-908115", "+49/(0)9932-908116", "", "Kapellenplatz 3
94486 Osterhofen
", "12"
"Jachtbemiddeling Sneekerhof", "info@jachtbemiddelingsneekerhof.nl", "", "+31/566-620058", "", "De Finnen 1
9001 Grou
", "77"
"Jachtmakelaardij Kappers", "info@jachtmakelaardijkappers.nl", "+31(0)168 473 175", "+31(0)168 473 553", "http://www.jachtmakelaardijkappers.nl/", "Sluispad Noord 1
4797 Willemstad
", "40"
"jata watersport", "info@riomarboote.de", "", "+31/77-3740790", "", "winkelveldstraat 4
5916 VENLO
", "8"
"JD Yachts Ltd.", "sales@jdyachts.com", "", "+44 (0) 1305 766 504", "", "80 The Esplanade
DT4 7 Weymouth Dorset
", "43"
"Jell Yachthafen", "info@jell.de", "+49/08054-9509818", "+49/08054-7238", "", "Königstr. 47
83254 Breitbrunn
", "1"
"JET-FIRE", "info@jet-fire.de", "+49/4821-65429", "+49/4821-65429", "", "De Vos Str. 19
25524 Itzehoe
", "3"
"Jonacor Marine", "info@jonacor-marine.ru", "", "+7/812-7024770", "", "Pesochnaya emb.
19702 Saint-Petersburg
", "3"
"Jopp - Boote & Yachten", "info@jopp-boote-yachten.de", "+49 (0)30 365 04 777", "+49 (0)30 365 04 776", "http://jopp-boote-yachten.de/", "Scharfe Lanke 109-131
13595 Berlin
", "8"
"Joyce Marine Europe S.L.", "info@joyce-marine-europe.com", "+34/971 7830-45", "+34/971 7830-46", "", "C. Son Muntaner 56
07013 Palma / Mallorca
", "12"
"JRYachting c/o LIVEcomm GmbH", "Jjuerg.moor@live-comm.ch", "", "+41/79-5901157", "", "Schulstrasse 7
2575 Täuffelen
", "3"
"judel/vrolijk & co - brokerage GmbH", "max@judel-vrolijk.com", "", "+49/471-308811-0", "", "Am Alten Vorhafen 8
27568 Bremerhaven
", "50"
"K-7 yachting", "info@swell.ch", "", "+41/79-2132446", "", "holzmühleweg 20
3303 jegenstorf
", "2"
"Kempf&Kempf Handels-und Beratungsgesellschaft", "kempf@natururlaub-bau.de", "+49/03981-441762", "+49/03981-239315", "", "Glambecker Str. 1
17235 Neustrelitz
", "5"
"Kiebitzberg® GmbH & Co. KG", "info@kiebhitzherg.de", "", "+49/39387-72540", "", "Rathenower Str. 6
39539 Havelberg
", "3"
"Kielwasser GmbH & Co. KG", "oliver@kielwasser-boote.de", "", "+49/3327-7321630", "http://www.kielwasser-boote.de/", "Adolf-Damaschke-Str. 56/58
14542 Werder/Havel
", "7"
"Kirchner & Mares International Yacht Brokerage OHG", "info@kirchner-mares.com", "", "040-605 631 86", "", "Rödingsmarkt 39
20459 Hamburg
", "49"
"Kleine Boote und Zubehör", "info@kleine-boote.de", "+49/04624-800744", "+49/04624-809426", "", "Industriestraße 18
24848 Kropp
", "7"
"Koch Anhängerwerke GmbH & Co KG", "verkauf@kochanhaengerwerke.de", "", "+49/4171-78380", "", "Werner Forßmann Str. 60
21423 Winsen-Luhe
", "5"
"Kolibri Schlauchboote Vertrieb", "info@kolibri-hoote.de", "", "+49/01604502605-0160", "", "Kolibri Schlauchboote Vertrieb
92655 Grafenwöhr
", "3"
"Krüger-Werft AG", "m.ihmels21@boot24.com", "", "+41/71-666 62 00", "", "Ländlistrasse 28
8274 Gottlieben
", "41"
"KUHNLE-TOURS GmbH", "info@mein-boot.eu", "+49/039823-26610", "+49/039823-2660", "", "Hafendorf Müritz
17248 Rechlin
", "56"
"LA MARE HOUSEBOATS", "biuro@lamare.pl", "", "+48/516-005998", "", "PORTOWA 10
85-75 BYDGOSZCZ
", "3"
"Lambert s Floatation Devices", "lambert@kayak-art.com", "", "+49 151 546 123 44", "http://www.kayak-art.com/", "Robert-Bosch-Str. 19
48153 Münster
", "1"
"LAMINATORNIA.PL Sp. z o.o.", "twoja@laminatornia.pl", "", "+48/52-522 55 77", "", "Wojska Polskiego 65
85-82 Bydgoszcz
", "9"
